config,config_label,run,day,run_name,harness,method,unit,module,settled,model,minutes,usd,tool_calls,agents,attributed_share
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,BDK/FFMPcc,BDK,True,claude-sonnet-5,9.0226,3.5427,52,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,BDK/FFPMccT,BDK,True,claude-sonnet-5,6.7996,2.9231,61,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,BDK/FFPMccTtilde,BDK,True,claude-sonnet-5,5.1590,1.7338,47,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,BDK/FFPMscT,BDK,True,claude-sonnet-5,5.1993,1.9428,38,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,BDK/fvs,BDK,True,claude-sonnet-5,8.8642,2.7942,37,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,Mods/Modules_Interface,Mods,True,claude-sonnet-5,7.5915,3.1976,43,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,Mods/mod_qcdloop_c,Mods,False,claude-sonnet-5,6.5355,2.3590,35,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,Mods/pp_mod,Mods,True,claude-sonnet-5,7.1201,2.5843,35,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,Mods/ppwp2j_mod,Mods,True,claude-sonnet-5,5.7899,2.4181,29,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,Mods/types_mod,Mods,False,claude-sonnet-5,4.3238,1.1644,25,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,W2jet/ZZbox1LL,W2jet,True,claude-sonnet-5,8.2302,3.2883,46,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,W2jet/a6treeg,W2jet,True,claude-sonnet-5,8.5581,3.6517,85,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,W2jet/atree,W2jet,True,claude-sonnet-5,9.6359,2.7062,68,2,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,W2jet/fvf,W2jet,True,claude-sonnet-5,4.7712,2.2473,43,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,exact,W2jet/ggZZcapture,W2jet,True,claude-sonnet-5,6.5472,2.6805,45,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,BDK/FFMPcc,BDK,True,claude-sonnet-5,11.8190,4.6433,74,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,BDK/FFPMccT,BDK,True,claude-sonnet-5,10.4662,3.5822,65,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,BDK/FFPMccTtilde,BDK,True,claude-sonnet-5,4.2829,1.6799,38,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,BDK/FFPMscT,BDK,True,claude-sonnet-5,4.9885,1.9791,27,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,BDK/fvs,BDK,True,claude-sonnet-5,28.3341,8.5601,146,4,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/Acalc,W2jet,True,claude-sonnet-5,4.1574,1.7069,30,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/Ftexact,W2jet,True,claude-sonnet-5,4.2325,2.3649,42,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/LRcalc,W2jet,True,claude-sonnet-5,2.7363,1.6258,29,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/Ltfunctions,W2jet,True,claude-sonnet-5,3.8546,1.7599,38,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/ZZbox1LL,W2jet,True,claude-sonnet-5,7.9003,3.7216,58,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/a6treeg,W2jet,True,claude-sonnet-5,6.9470,2.7052,49,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/atree,W2jet,True,claude-sonnet-5,7.2486,2.3645,49,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/fvf,W2jet,True,claude-sonnet-5,6.0671,2.5130,61,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/ggZZcapture,W2jet,True,claude-sonnet-5,8.1624,3.1675,57,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/subqcd,W2jet,True,claude-sonnet-5,4.9131,2.2268,49,1,
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R3,08-28-2026,ccworkflow-sonnet-5-opus-5-integrate-run4,ccworkflow,exact,W2jet/w2jetsq,W2jet,True,claude-sonnet-5,4.4168,1.5525,29,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,BDK/FFMPcc,BDK,True,claude-opus-5,6.2365,5.4006,34,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,BDK/FFPMccT,BDK,True,claude-opus-5,5.4796,4.6155,29,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,BDK/FFPMccTtilde,BDK,True,claude-opus-5,3.7030,3.3225,25,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,BDK/FFPMscT,BDK,True,claude-opus-5,6.0002,5.6851,30,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,BDK/fvs,BDK,True,claude-opus-5,7.0131,5.4033,30,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/Acalc,W2jet,True,claude-opus-5,4.4290,4.0274,29,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/Ftexact,W2jet,True,claude-opus-5,4.2104,4.2083,27,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/LRcalc,W2jet,True,claude-opus-5,6.0171,4.9317,33,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/Ltfunctions,W2jet,True,claude-opus-5,4.3559,3.2872,32,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/ZZbox1LL,W2jet,True,claude-opus-5,7.7513,6.2824,40,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/a6treeg,W2jet,True,claude-opus-5,5.9474,4.8417,33,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/atree,W2jet,True,claude-opus-5,6.0145,5.1483,36,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/fvf,W2jet,True,claude-opus-5,8.0016,5.4625,41,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/ggZZcapture,W2jet,True,claude-opus-5,5.5578,4.9993,32,1,
C2,ccworkflow (opus-5 all phases),R2,08-28-2026,ccworkflow-opus-5,ccworkflow,exact,W2jet/subqcd,W2jet,True,claude-opus-5,6.8074,5.0621,44,1,
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,Mods/mod_qcdloop_c,Mods,True,claude-opus-5,2.5153,0.9080,6.2500,,0.0579
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,Mods/pp_mod,Mods,True,claude-opus-5,4.3263,1.5618,10.7500,,0.0995
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,Mods/ppwp2j_mod,Mods,True,claude-opus-5,2.7165,0.9807,6.7500,,0.0625
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,Mods/types_mod,Mods,True,claude-opus-5,2.1128,0.7627,5.2500,,0.0486
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,W2jet/A6texact,W2jet,True,claude-opus-5,2.0122,0.7264,5.0000,,0.0463
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,W2jet/Acalc,W2jet,True,claude-opus-5,2.8842,1.0412,7.1667,,0.0664
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,W2jet/Ftexact,W2jet,True,claude-opus-5,2.4818,0.8959,6.1667,,0.0571
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,W2jet/ZZbox1LL,W2jet,True,claude-opus-5,3.3671,1.2155,8.3667,,0.0775
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,W2jet/a6routine,W2jet,True,claude-opus-5,2.0793,0.7506,5.1667,,0.0478
C3,csloop opus-5,R4,08-27-2026,codescribe-opus-5,csloop,apportioned,W2jet/a6treeg,W2jet,True,claude-opus-5,2.6964,0.9734,6.7000,,0.0620
