config,config_label,method,unit,module,n_runs,runs,minutes_mean,usd_mean,tool_calls_mean,shared
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,BDK/FFMPcc,BDK,2,R1 R3,10.4208,4.0930,63.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,BDK/FFPMccT,BDK,2,R1 R3,8.6329,3.2527,63.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,BDK/FFPMccTtilde,BDK,2,R1 R3,4.7209,1.7068,42.5000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,BDK/FFPMscT,BDK,2,R1 R3,5.0939,1.9609,32.5000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,BDK/fvs,BDK,2,R1 R3,18.5991,5.6772,91.5000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,Mods/Modules_Interface,Mods,1,R1,7.5915,3.1976,43.0000,False
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,Mods/pp_mod,Mods,1,R1,7.1201,2.5843,35.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,Mods/ppwp2j_mod,Mods,1,R1,5.7899,2.4181,29.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/Acalc,W2jet,1,R3,4.1574,1.7069,30.0000,False
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/Ftexact,W2jet,1,R3,4.2325,2.3649,42.0000,False
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/LRcalc,W2jet,1,R3,2.7363,1.6258,29.0000,False
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/Ltfunctions,W2jet,1,R3,3.8546,1.7599,38.0000,False
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/ZZbox1LL,W2jet,2,R1 R3,8.0653,3.5049,52.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/a6treeg,W2jet,2,R1 R3,7.7525,3.1784,67.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/atree,W2jet,2,R1 R3,8.4423,2.5354,58.5000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/fvf,W2jet,2,R1 R3,5.4191,2.3802,52.0000,False
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/ggZZcapture,W2jet,2,R1 R3,7.3548,2.9240,51.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/subqcd,W2jet,1,R3,4.9131,2.2268,49.0000,True
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",exact,W2jet/w2jetsq,W2jet,1,R3,4.4168,1.5525,29.0000,False
C2,ccworkflow (opus-5 all phases),exact,BDK/FFMPcc,BDK,1,R2,6.2365,5.4006,34.0000,True
C2,ccworkflow (opus-5 all phases),exact,BDK/FFPMccT,BDK,1,R2,5.4796,4.6155,29.0000,True
C2,ccworkflow (opus-5 all phases),exact,BDK/FFPMccTtilde,BDK,1,R2,3.7030,3.3225,25.0000,True
C2,ccworkflow (opus-5 all phases),exact,BDK/FFPMscT,BDK,1,R2,6.0002,5.6851,30.0000,True
C2,ccworkflow (opus-5 all phases),exact,BDK/fvs,BDK,1,R2,7.0131,5.4033,30.0000,True
C2,ccworkflow (opus-5 all phases),exact,W2jet/Acalc,W2jet,1,R2,4.4290,4.0274,29.0000,False
C2,ccworkflow (opus-5 all phases),exact,W2jet/Ftexact,W2jet,1,R2,4.2104,4.2083,27.0000,False
C2,ccworkflow (opus-5 all phases),exact,W2jet/LRcalc,W2jet,1,R2,6.0171,4.9317,33.0000,False
C2,ccworkflow (opus-5 all phases),exact,W2jet/Ltfunctions,W2jet,1,R2,4.3559,3.2872,32.0000,False
C2,ccworkflow (opus-5 all phases),exact,W2jet/ZZbox1LL,W2jet,1,R2,7.7513,6.2824,40.0000,True
C2,ccworkflow (opus-5 all phases),exact,W2jet/a6treeg,W2jet,1,R2,5.9474,4.8417,33.0000,True
C2,ccworkflow (opus-5 all phases),exact,W2jet/atree,W2jet,1,R2,6.0145,5.1483,36.0000,True
C2,ccworkflow (opus-5 all phases),exact,W2jet/fvf,W2jet,1,R2,8.0016,5.4625,41.0000,False
C2,ccworkflow (opus-5 all phases),exact,W2jet/ggZZcapture,W2jet,1,R2,5.5578,4.9993,32.0000,True
C2,ccworkflow (opus-5 all phases),exact,W2jet/subqcd,W2jet,1,R2,6.8074,5.0621,44.0000,True
C3,csloop opus-5,apportioned,BDK/FFMPcc,BDK,1,R5,2.5307,0.7990,5.4000,True
C3,csloop opus-5,apportioned,BDK/FFPMccT,BDK,1,R5,2.5307,0.7990,5.4000,True
