config,config_label,run,day,run_name,harness,method,duration_source,phases_covered,unit,module,settled,model,minutes,usd,tool_calls,agents,attributed_share
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,BDK/FFMPcc,BDK,True,claude-sonnet-5,6.4049,3.3258,13.9000,,0.0411
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,BDK/FFPMccT,BDK,True,claude-sonnet-5,7.9917,4.3188,16.4000,,0.0512
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,BDK/FFPMccTtilde,BDK,True,claude-sonnet-5,6.1354,2.9646,9.4000,,0.0393
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,BDK/FFPMscT,BDK,True,claude-sonnet-5,1.7074,1.2306,12.9000,,0.0109
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,BDK/fvs,BDK,True,claude-sonnet-5,5.7071,3.2298,14.4000,,0.0366
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,Mods/Modules_Interface,Mods,True,claude-sonnet-5,11.7126,6.2907,19.5000,,0.0751
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,Mods/pp_mod,Mods,True,claude-sonnet-5,12.5270,6.2912,18.5000,,0.0803
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,Mods/ppwp2j_mod,Mods,True,claude-sonnet-5,14.2555,7.0211,13.0000,,0.0914
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,W2jet/ZZbox1LL,W2jet,True,claude-sonnet-5,38.1414,18.1201,18.9000,,0.2446
C1,"ccworkflow (sonnet-5 triage and dispatch, opus-5 integrate)",R1,08-27-2026,ccworkflow-sonnet-5-opus-5-integrate-run3,ccworkflow,timed,derived,all,W2jet/a6treeg,W2jet,True,claude-sonnet-5,4.5497,2.6192,21.4000,,0.0292
