run,config,harness,method,duration_source,phases_covered,settled_units,attributed_usd,attributed_minutes,run_usd,unmeasured_usd,unmeasured_minutes,unattributed_fraction
R1,C1,ccworkflow,timed,derived,all,13,78.3788,155.9431,78.3788,0.0000,0.0000,0.8851
R2,C2,ccworkflow,timed,derived,all,15,104.4303,133.9246,104.4303,0.0000,0.0000,0.8494
R3,C1,ccworkflow,timed,derived,all,16,73.6715,159.4416,73.6715,0.0000,0.0000,0.8745
R4,C3,csloop,timed,measured,author,15,15.6906,43.4605,15.6906,1.7759,5.1216,0.6402
R5,C3,csloop,timed,measured,author,14,13.3159,42.1761,13.3159,1.2547,3.3559,0.6073
R6,C3,csloop,timed,measured,author,12,12.8679,37.6153,12.8679,1.0279,2.5886,0.6635
R7,C4,csloop,timed,measured,author,2,5.8258,34.6811,5.8258,0.7830,5.1474,0.8167
R8,C4,csloop,timed,measured,author,2,6.2680,34.4129,6.2680,1.0500,7.0357,0.7967
R9,C5,csloop,timed,measured,author,5,6.3810,21.7716,6.3810,0.9448,1.6335,0.5392
R10,C5,csloop,timed,measured,author,10,9.5905,25.3763,9.5905,0.6900,1.1328,0.5361
R11,C5,csloop,timed,measured,author,11,10.0632,37.5702,10.0632,0.8993,1.9075,0.5399
R12,C6,ccloop,timed,derived,all,9,51.7223,60.4557,51.7223,0.0000,0.0000,0.9756
R13,C7,ccloop,timed,derived,all,5,13.1656,26.7828,13.1656,0.0000,0.0000,0.7374
